Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,102.736,86.252,113.969
17,99.306,87.381,115.28
18,98.388,87.985,114.282
19,97.529,81.657,108.606
20,97.229,81.76,108.235
21,98.031,83.419,109.257
22,98.603,83.361,109.939
23,96.829,83.106,110.01
24,98.01,84.108,110.363
25,97.916,79.95,113.438
26,95.455,97.178,103.618
27,97.579,101.683,105.662
28,98.919,107.133,105.888
29,98.016,112.79,110.35
30,97.613,111.898,108.602
31,99.401,115.876,112.253
32,100.344,114.511,111.987
33,101.388,113.793,108.516
34,99.817,113.38,109.794
35,96.495,167.768,109.998
36,100.406,167.055,109.961
37,101.19,164.678,110.748
38,100.792,166.557,110.768
39,99.966,165.348,109.494
40,99.627,80.538,105.238
41,96.776,64.909,111.035
42,99.616,68.447,113.468
43,98.932,62.522,113.155
44,99.056,69.298,115.882
45,98.01,71.902,115.69
46,98.008,69.663,115.36
47,96.239,67.867,112.419
48,98.861,97.569,103.481
49,98.473,107.228,106.912
50,100.449,116.372,110.287
51,88.047,121.597,99.958
52,82.63,122.088,80.028
53,80.322,123.144,82.712
54,83.003,122.429,83.188
55,82.518,122.647,82.941
56,79.221,118.938,80.761
57,80.514,118.938,80.868
58,81.721,119.094,80.578
59,82.754,120.567,80.105
60,80.552,120.02,79.557
61,78.341,120.516,79.371
62,133.338,117.366,71.792
63,138.119,104.938,62.949
64,125.581,83.084,59.671
65,134.526,85.968,59.008
66,121.254,88.339,61.153
67,137.72,88.174,75.118
68,105.176,92.286,106.041
69,110.386,115.554,117.155
70,109.632,116.101,116.811
71,105.875,109.803,112.007
72,104.886,109.513,110.314
73,45.625,103.146,107.217
74,37.171,113.83,111.113
75,38.864,113.067,112.024
76,41.654,115.179,112.784
77,50.084,111.213,112.099
78,172.072,108.41,110.011
79,167.441,109.417,109.976
80,117.527,109.764,109.401
81,97.247,83.37,106.464
82,151.508,127.574,137.463
83,125.87,178.294,172.269
84,143.081,169.664,179.499
85,152.96,174.523,176.102
86,157.761,178.461,173.949
87,179.873,176.878,167.435
88,163.905,179.549,172.226
89,163.905,179.549,172.226
90,163.905,179.549,172.226
