Time,Elbow,Knee,Spine
1,179.146,177.681,175.233
2,179.17,177.559,174.636
3,48.475,178.779,173.904
4,45.914,177.998,173.759
5,36.823,179.168,176.699
6,45.533,178.237,174.477
7,48.588,176.68,173.908
8,46.815,179.221,173.722
9,41.996,179.978,174.073
10,42.17,179.733,173.184
11,174.624,176.266,174.943
12,179.163,178.137,174.255
13,179.337,178.78,174.246
14,175.495,178.546,174.486
15,172.644,178.758,172.863
16,112.511,177.185,173.825
17,24.672,178.796,174.952
18,24.472,178.868,173.902
19,23.161,179.343,174.485
20,23.498,178.607,174.088
21,26.218,178.732,173.033
22,24.547,178.175,175.2
23,111.78,179.569,171.259
24,115.465,178.931,174.204
25,89.836,179.478,173.409
26,50.471,179.748,175.302
27,170.564,179.982,174.69
28,179.617,178.12,175.968
29,36.095,178.33,172.951
30,36.095,178.33,172.951
31,36.095,178.33,172.951
32,36.095,178.33,172.951
33,36.095,178.33,172.951
34,36.095,178.33,172.951
35,36.095,178.33,172.951
36,36.095,178.33,172.951
37,36.095,178.33,172.951
38,36.095,178.33,172.951
39,36.095,178.33,172.951
40,36.095,178.33,172.951
41,36.095,178.33,172.951
42,36.095,178.33,172.951
43,36.095,178.33,172.951
44,36.095,178.33,172.951
45,36.095,178.33,172.951
46,36.095,178.33,172.951
47,36.095,178.33,172.951
48,36.095,178.33,172.951
49,36.095,178.33,172.951
50,36.095,178.33,172.951
51,36.095,178.33,172.951
52,36.095,178.33,172.951
53,36.095,178.33,172.951
54,36.095,178.33,172.951
55,36.095,178.33,172.951
56,36.095,178.33,172.951
57,36.095,178.33,172.951
58,36.095,178.33,172.951
59,36.095,178.33,172.951
60,36.095,178.33,172.951
61,36.095,178.33,172.951
62,36.095,178.33,172.951
63,36.095,178.33,172.951
64,36.095,178.33,172.951
65,36.095,178.33,172.951
66,36.095,178.33,172.951
67,36.095,178.33,172.951
68,36.095,178.33,172.951
69,36.095,178.33,172.951
70,36.095,178.33,172.951
71,36.095,178.33,172.951
72,36.095,178.33,172.951
73,36.095,178.33,172.951
74,36.095,178.33,172.951
75,36.095,178.33,172.951
76,36.095,178.33,172.951
77,36.095,178.33,172.951
78,36.095,178.33,172.951
79,36.095,178.33,172.951
80,36.095,178.33,172.951
81,36.095,178.33,172.951
82,36.095,178.33,172.951
83,36.095,178.33,172.951
84,36.095,178.33,172.951
85,36.095,178.33,172.951
86,36.095,178.33,172.951
87,36.095,178.33,172.951
