Time,Elbow,Knee,Spine
1,130.697,101.118,119.242
2,128.548,101.372,117.775
3,131.111,101.595,117.959
4,131.333,100.454,117.531
5,128.739,108.065,119.593
6,126.992,162.84,122.361
7,125.143,100.552,108.767
8,26.983,118.343,131.791
9,64.19,106.174,120.827
10,129.556,110.572,123.882
11,127.406,119.93,133.68
12,106.941,102.939,119.586
13,32.601,123.257,135.618
14,120.072,119.473,123.057
15,128.276,105.327,102.741
16,120.419,104.474,105.595
17,120.945,103.006,112.876
18,120.948,101.406,116.336
19,126.42,104.849,121.888
20,113.784,104.505,117.695
21,118.348,116.241,117.087
22,155.723,157.765,106.669
23,150.222,157.536,102.196
24,155.595,146.996,115.067
25,91.137,119.095,118.145
26,67.793,124.101,134.594
27,67.793,124.101,134.594
28,67.793,124.101,134.594
29,67.793,124.101,134.594
30,67.793,124.101,134.594
31,67.793,124.101,134.594
32,67.793,124.101,134.594
33,67.793,124.101,134.594
