Time,Elbow,Knee,Spine
1,0,52.79499999999998,98.105
2,0,53.42999999999999,94.43750000000001
3,0,53.9875,94.89750000000001
4,0,51.134999999999984,93.82750000000001
5,0,70.1625,98.9825
6,0,0,0
7,0,73.4225,81.0725
8,0,95.8575,0
9,0,65.43500000000002,0
10,0,76.43,0
11,0,99.82500000000002,0
12,69.2125,57.714999999999996,0
13,0,0,0
14,0,98.68249999999999,0
15,0,63.317499999999995,56.8525
16,0,61.18500000000002,63.9875
17,0,57.515,82.19000000000001
18,0,53.51500000000001,90.84
19,0,62.12250000000002,0
20,84.46000000000001,61.26249999999999,94.23749999999998
21,95.86999999999999,90.60249999999999,92.7175
22,0,0,66.67249999999999
23,0,0,55.489999999999995
24,0,0,85.69749999999999
25,27.8425,97.7375,95.36249999999998
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
