Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,0,0
4,169.954,178.647,174.201
5,168.974,178.38,173.94
6,171.79,178.479,174.043
7,169.007,178.138,174.573
8,169.346,178.158,174.574
9,170.631,179.066,172.874
10,108.906,178.136,176.819
11,173.702,178.642,174.34
12,72.655,172.92,179.444
13,80.926,175.533,177.845
14,55.253,177.692,179.458
15,93.731,177.56,173.563
16,76.451,178.111,174.798
17,66.04,176.791,178.389
18,168.898,179.881,170.151
19,40.187,179.987,174.776
20,79.62,178.722,175.567
21,82.151,177.93,177.134
22,86.549,177.926,176.402
23,82.691,176.975,176.372
24,110.177,177.505,175.656
25,112.127,177.726,174.956
26,91.801,176.947,175.784
27,92.255,177.308,175.522
28,93.144,177.39,176.141
29,89.947,177.173,175.604
30,86.931,177.593,175.638
31,78.366,176.866,174.676
32,87.267,177.384,175.746
33,90.57,176.287,177.101
34,155.467,177.439,175.866
35,75.558,177.794,176.794
36,87.407,174.876,177.522
37,78.015,176.24,177.762
38,167.283,179.708,172.044
39,174.28,178.619,176.792
40,164.355,179.327,176.226
41,179.822,177.422,175.448
42,174.665,177.187,175.651
43,163.391,177.515,175.556
44,173.095,178.276,175.089
45,172.92,177.773,175.605
46,172.92,177.773,175.605
47,172.92,177.773,175.605
48,172.92,177.773,175.605
49,172.92,177.773,175.605
50,172.92,177.773,175.605
51,172.92,177.773,175.605
52,172.92,177.773,175.605
