Time,Elbow,Knee,Spine
1,58.42,179.928,174.834
2,159.079,179.7,174.609
3,74.87,178.546,174.004
4,164.072,179.042,173.216
5,89.45,179.962,172.119
6,14.269,179.37,176.398
7,6.762,179.919,175.888
8,49.444,179.656,172.334
9,29.757,179.451,174.43
10,166.637,177.128,169.262
11,169.716,179.299,170.738
12,161.855,178.872,170.916
13,177.439,178.808,174.481
14,174.207,178.18,175.36
15,179.391,178.707,174.516
16,174.508,167.523,164.951
17,172.889,171.91,171.391
18,177.679,179.229,172.43
19,179.983,178.559,174.953
20,94.624,178.362,175.903
21,87.113,178.022,172.112
22,71.602,179.645,167.576
23,90.963,177.502,170.073
24,33.554,139.774,150.122
25,26.505,179.981,172.818
26,35.483,179.19,174.254
27,30.599,178.696,175.316
28,173.249,177.707,175.397
29,139.89,178.399,173.979
30,65.712,175.549,177.611
31,51.441,178.991,177.514
32,66.942,174.4,177.807
33,63.394,174.997,178.086
34,169.457,176.547,175.791
35,177.081,176.437,176.938
36,20.164,179.785,172.762
37,23.0,179.488,173.142
38,174.628,179.745,177.507
39,179.378,176.924,176.574
40,178.397,177.217,175.861
