Time,Elbow,Knee,Spine
1,173.973,141.172,152.602
2,144.39,7.088,18.811
3,175.474,156.053,153.898
4,177.56,167.57,162.392
5,178.169,156.819,155.296
6,174.232,172.245,166.091
7,165.515,178.039,169.703
8,161.628,175.281,170.65
9,165.689,153.85,156.206
10,174.853,130.722,134.225
11,173.369,135.137,145.064
12,178.137,167.634,159.247
13,177.094,75.455,125.794
14,139.66,132.958,156.197
15,120.467,162.938,168.201
16,112.795,127.446,128.283
17,115.119,155.262,160.098
18,114.355,75.139,85.392
19,112.094,75.569,75.789
20,110.741,118.508,88.877
21,117.197,160.354,167.76
22,55.204,97.776,104.645
23,55.629,85.78,99.888
24,91.431,98.584,97.585
25,72.352,98.558,97.513
26,76.476,90.898,97.813
27,75.714,92.687,101.803
28,80.329,122.103,134.042
29,82.429,155.968,163.263
30,82.183,145.998,154.351
31,83.814,141.179,148.815
32,83.818,129.294,140.536
33,84.438,105.664,119.899
34,76.847,103.992,90.779
35,78.393,123.039,96.6
36,100.699,99.354,89.157
37,116.168,134.773,109.235
38,116.443,93.168,99.115
39,113.711,167.072,114.301
40,68.684,139.129,149.797
41,109.806,153.661,123.541
42,157.211,167.216,175.473
43,155.669,169.829,177.142
44,154.237,165.05,171.492
45,156.628,164.861,172.841
46,27.323,176.277,173.2
47,26.966,178.675,170.87
48,29.503,179.137,169.304
49,35.076,173.685,175.687
50,36.813,167.366,177.135
51,36.262,168.415,176.735
52,36.871,167.379,178.346
53,35.202,173.237,175.453
54,44.705,164.766,175.655
55,115.72,147.936,158.036
56,113.472,151.832,164.179
57,121.255,114.893,122.012
58,117.087,70.986,102.473
59,115.517,98.592,96.13
60,79.176,148.371,157.892
61,38.181,167.413,179.803
62,43.7,130.157,140.456
63,40.086,156.965,171.204
64,40.152,164.503,179.3
65,41.342,156.285,166.726
66,40.313,155.626,169.445
67,41.773,137.858,132.354
68,39.426,163.138,174.634
69,60.052,106.678,113.912
70,101.527,76.193,99.246
71,119.058,92.506,98.147
72,119.734,92.008,97.362
73,120.654,112.652,95.622
74,120.583,106.578,96.767
75,121.008,99.536,97.09
76,116.295,99.394,87.121
77,91.001,92.535,85.909
78,132.453,1.398,117.223
79,175.39,174.621,159.661
80,72.481,177.263,175.098
81,72.481,177.263,175.098
82,72.481,177.263,175.098
83,72.481,177.263,175.098
