Time,Elbow,Knee,Spine
1,132.776,98.947,117.617
2,130.65,103.513,122.179
3,129.52,103.754,120.717
4,129.645,100.966,116.182
5,129.179,108.881,123.224
6,129.344,144.16,123.352
7,126.537,162.976,123.29
8,126.178,127.206,117.296
9,30.767,117.771,130.692
10,33.948,116.886,129.793
11,121.584,98.936,112.74
12,130.67,111.395,126.7
13,122.466,105.38,122.702
14,101.771,111.459,124.575
15,35.976,107.485,122.68
16,125.372,110.002,114.466
17,128.139,101.466,99.306
18,124.306,106.707,105.517
19,123.379,104.409,114.042
20,122.147,106.385,117.828
21,120.948,101.406,116.336
