Time,Elbow,Knee,Spine
1,140.202,169.476,177.182
2,139.575,162.067,149.3
3,109.198,103.101,94.375
4,110.64,85.236,114.011
5,101.25,87.664,117.493
6,99.715,103.557,106.762
7,10.279,171.806,115.293
8,156.313,86.245,76.712
9,179.478,115.447,160.876
10,175.802,125.57,157.456
11,173.135,143.836,160.387
12,178.323,25.579,166.815
13,176.959,139.808,154.869
14,175.75,168.079,164.89
15,168.279,142.91,159.429
16,166.826,175.023,172.201
17,109.611,142.23,99.949
18,112.561,168.047,91.143
19,133.782,144.177,3.871
20,44.914,21.85,5.789
21,131.266,97.218,17.815
22,102.375,110.477,111.206
23,111.991,110.215,109.696
24,56.764,112.74,110.252
25,95.421,111.04,109.791
26,103.969,107.619,105.425
27,104.421,107.643,106.52
28,104.244,106.875,105.613
29,105.338,106.528,105.225
30,103.423,105.901,104.451
31,103.561,108.007,107.2
32,123.444,112.108,109.82
33,102.575,110.719,108.096
34,107.991,106.479,106.651
35,108.908,108.941,110.009
36,110.216,108.417,109.222
37,108.579,109.329,109.535
38,106.47,107.823,108.123
39,109.706,110.556,110.364
40,111.128,109.435,111.832
41,47.131,119.061,118.298
42,42.613,119.347,115.922
43,106.469,108.773,110.251
44,114.263,110.301,112.187
45,67.677,95.482,111.337
46,100.366,123.773,111.581
47,100.038,111.932,108.79
48,120.202,113.504,110.933
49,124.557,114.321,110.643
50,126.03,114.113,111.28
51,129.814,115.538,112.074
52,117.507,114.875,111.343
53,123.247,114.938,110.064
54,120.933,114.91,111.282
55,119.675,115.088,112.759
56,119.49,116.48,114.4
57,121.984,115.325,113.383
58,53.008,115.707,114.463
59,74.379,118.26,113.639
60,85.69,117.493,112.356
61,79.931,118.161,113.155
62,91.994,115.901,110.835
63,106.582,118.991,115.277
64,54.105,116.456,108.77
65,48.419,116.551,109.552
66,102.04,112.745,106.89
67,104.441,116.443,111.352
68,110.795,114.246,109.479
69,113.489,116.613,111.497
70,113.418,114.654,109.436
71,110.754,113.577,108.749
72,111.435,112.417,108.554
73,114.97,115.476,111.225
74,102.607,115.198,111.372
75,104.266,114.174,108.729
76,105.443,112.2,106.456
77,103.366,111.113,105.848
78,110.19,111.983,106.979
79,95.049,110.44,105.175
80,106.978,112.655,107.17
81,107.871,110.701,105.539
82,105.929,110.756,105.309
83,110.597,111.815,106.507
84,113.305,112.049,107.24
85,154.747,52.567,153.617
86,172.298,19.492,177.637
87,179.196,20.324,15.733
88,176.515,177.394,175.404
89,179.449,16.85,23.549
90,179.449,16.85,23.549
91,179.449,16.85,23.549
92,179.449,16.85,23.549
93,179.449,16.85,23.549
