Time,Elbow,Knee,Spine
1,177.952,177.215,175.203
2,175.863,176.759,176.854
3,111.032,178.243,175.171
4,89.58,179.782,174.934
5,177.242,178.083,177.775
6,175.921,176.735,176.563
7,173.415,176.605,177.077
8,59.048,178.292,172.761
9,171.337,176.968,176.505
10,87.042,175.782,174.86
11,92.871,176.784,174.833
12,79.505,176.685,174.431
13,95.69,177.65,173.966
14,179.402,175.99,176.666
15,41.043,177.52,175.693
16,178.282,176.383,177.273
17,177.197,176.07,176.408
18,175.815,177.056,177.403
19,175.985,177.039,177.139
20,178.74,176.946,177.072
21,178.991,176.649,177.664
22,178.675,176.523,177.592
23,179.906,176.6,177.611
24,179.969,176.585,177.574
25,169.943,177.434,177.063
26,179.428,177.482,177.19
27,179.753,177.377,177.108
28,176.132,179.283,175.964
29,178.71,179.568,176.525
30,178.71,179.568,176.525
31,178.71,179.568,176.525
32,178.71,179.568,176.525
33,178.71,179.568,176.525
34,178.71,179.568,176.525
35,178.71,179.568,176.525
36,178.71,179.568,176.525
37,178.71,179.568,176.525
38,178.71,179.568,176.525
