Time,Elbow,Knee,Spine
1,163.782,67.798,134.56
2,76.218,128.686,136.449
3,17.049,171.422,167.53
4,161.751,173.752,164.296
5,151.47,148.548,152.393
6,143.47,177.698,172.566
7,111.329,175.746,178.09
8,102.521,167.111,163.732
9,125.223,173.364,174.924
10,102.079,178.683,174.552
11,112.457,133.012,142.894
12,125.527,132.225,142.281
13,149.017,78.568,81.135
14,134.19,112.365,91.667
15,139.345,115.185,107.862
16,139.972,106.109,98.713
17,139.678,118.852,102.662
18,134.345,120.922,90.858
19,140.444,126.724,93.879
20,146.805,125.105,97.23
21,121.247,112.01,120.29
22,84.765,96.536,102.197
23,101.546,129.359,123.511
24,110.159,79.316,117.159
25,135.075,51.753,109.657
26,135.27,65.836,113.263
27,129.846,155.965,85.464
28,131.283,141.956,94.383
29,131.506,83.302,111.496
30,130.801,128.389,92.334
31,134.296,127.207,87.069
32,136.347,89.041,87.48
33,133.597,92.981,86.849
34,92.603,70.044,105.671
35,107.422,80.356,89.054
36,94.134,94.521,111.449
37,94.665,97.146,114.024
38,94.665,97.146,114.024
39,94.665,97.146,114.024
