Time,Elbow,Knee,Spine
1,0,95.2,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,78.32249999999998,0,0
8,58.56750000000002,0,0
9,0,0,0
10,58.93000000000001,0,0
11,85.215,0,0
12,0,0,0
13,0,0,15.710000000000013
14,0,0,26.457499999999992
15,0,87.9625,69.65499999999999
16,0,65.2725,46.782499999999985
17,0,73.3575,58.664999999999985
18,0,0,27.14500000000001
19,0,0,34.69750000000001
20,0,0,43.07500000000001
21,96.97749999999999,17.517500000000013,53.607499999999995
22,11.912500000000001,41.34,55.49250000000001
23,36.952500000000015,0,0
24,76.65500000000002,0,0
25,0,0,75.18499999999999
26,0,0,83.15750000000001
27,0,0,18.557500000000005
28,0,0,35.95749999999999
29,0,17.345000000000006,84.6675
30,0,0,36.32999999999999
31,0,0,18.500000000000014
32,0,26.024999999999988,18.584999999999994
33,0,31.092499999999994,19.69999999999999
34,41.39500000000002,0,65.23499999999999
35,68.55499999999999,0.8899999999999864,22.635000000000005
36,35.06,34.3225,76.03999999999999
37,36.662500000000016,42.865,85.06
38,36.662500000000016,42.865,85.06
39,36.662500000000016,42.865,85.06
