1,136.984,126.622
2,103.294,122.704
3,67.934,149.15
4,116.358,118.674
5,115.864,115.17
6,98.381,133.237
7,126.045,118.695
8,89.489,147.077
9,102.77,132.507
10,96.881,149.205
11,96.966,135.455
12,116.373,154.694
13,99.779,133.437
14,94.283,140.771
15,110.229,118.484
16,113.182,129.849
17,98.985,130.765
18,143.763,142.805
19,97.314,158.311
20,134.474,131.159
21,108.27,138.587
23,109.574,125.268
24,96.252,153.184
25,92.678,138.816
26,114.087,151.168
27,103.668,149.265
28,110.076,142.684
29,91.83,128.338
30,100.048,139.058
31,115.661,134.289
32,23.256,143.806
