Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,132.688,103.304,121.127
4,130.625,100.148,119.087
5,129.52,103.754,120.717
6,129.738,101.878,116.692
7,130.633,103.443,119.238
8,128.343,109.865,124.149
9,129.344,144.16,123.352
10,126.992,162.84,122.361
11,126.273,130.664,116.569
12,117.833,98.885,112.222
13,30.767,117.771,130.692
14,25.079,117.82,131.378
15,50.883,119.567,132.97
16,110.564,103.919,120.069
17,110.564,103.919,120.069
18,110.564,103.919,120.069
19,110.564,103.919,120.069
20,110.564,103.919,120.069
21,110.564,103.919,120.069
22,110.564,103.919,120.069
