Time,Elbow,Knee,Spine
1,0,0,0
2,133.963,100.609,118.59
3,130.25,100.575,119.649
4,128.529,101.794,117.054
5,129.251,108.338,122.777
6,128.909,148.736,123.39
7,126.404,142.013,117.397
8,34.773,117.667,130.936
9,27.392,120.237,133.723
10,119.027,99.147,113.04
11,130.613,110.077,126.236
12,119.54,108.013,125.435
13,72.627,116.623,129.437
14,99.241,117.735,129.909
15,127.916,112.913,117.285
16,128.535,99.576,97.449
17,113.71,105.816,116.066
18,123.596,108.401,119.246
19,124.031,106.675,124.649
20,119.391,107.117,120.75
21,114.979,105.064,118.743
22,120.5,129.353,117.612
23,149.792,154.013,101.66
24,149.819,160.717,107.076
25,133.331,134.767,124.449
26,58.808,108.167,118.058
27,67.793,124.101,134.594
28,67.793,124.101,134.594
29,67.793,124.101,134.594
30,67.793,124.101,134.594
31,67.793,124.101,134.594
32,67.793,124.101,134.594
33,67.793,124.101,134.594
34,67.793,124.101,134.594
35,67.793,124.101,134.594
36,67.793,124.101,134.594
37,67.793,124.101,134.594
38,67.793,124.101,134.594
39,67.793,124.101,134.594
40,67.793,124.101,134.594
41,67.793,124.101,134.594
42,67.793,124.101,134.594
43,67.793,124.101,134.594
44,67.793,124.101,134.594
45,67.793,124.101,134.594
46,67.793,124.101,134.594
47,67.793,124.101,134.594
48,67.793,124.101,134.594
49,67.793,124.101,134.594
50,67.793,124.101,134.594
51,67.793,124.101,134.594
52,67.793,124.101,134.594
53,67.793,124.101,134.594
54,67.793,124.101,134.594
55,67.793,124.101,134.594
56,67.793,124.101,134.594
57,67.793,124.101,134.594
58,67.793,124.101,134.594
59,67.793,124.101,134.594
60,67.793,124.101,134.594
61,67.793,124.101,134.594
62,67.793,124.101,134.594
63,67.793,124.101,134.594
64,67.793,124.101,134.594
65,67.793,124.101,134.594
66,67.793,124.101,134.594
67,67.793,124.101,134.594
68,67.793,124.101,134.594
69,67.793,124.101,134.594
70,67.793,124.101,134.594
71,67.793,124.101,134.594
72,67.793,124.101,134.594
73,67.793,124.101,134.594
74,67.793,124.101,134.594
75,67.793,124.101,134.594
76,67.793,124.101,134.594
77,67.793,124.101,134.594
78,67.793,124.101,134.594
79,67.793,124.101,134.594
80,67.793,124.101,134.594
81,67.793,124.101,134.594
82,67.793,124.101,134.594
83,67.793,124.101,134.594
84,67.793,124.101,134.594
85,67.793,124.101,134.594
86,67.793,124.101,134.594
87,67.793,124.101,134.594
88,67.793,124.101,134.594
89,67.793,124.101,134.594
90,67.793,124.101,134.594
91,67.793,124.101,134.594
