Time,Elbow,Knee,Spine
1,176.402,176.315,176.93
2,175.877,177.38,177.107
3,65.609,177.143,176.588
4,69.659,176.919,175.959
5,72.119,177.724,175.005
6,169.95,177.748,176.044
7,109.359,177.903,176.99
8,68.571,175.763,176.974
9,73.525,178.523,176.898
10,116.686,169.009,171.424
11,110.902,177.515,178.431
12,106.293,176.56,177.901
13,117.143,176.936,177.541
14,109.801,175.99,178.17
15,100.051,176.215,177.365
16,105.792,176.4,178.405
17,176.226,176.048,177.464
18,177.635,176.575,177.307
19,177.635,176.575,177.307
20,177.635,176.575,177.307
