Time,Elbow,Knee,Spine
1,132.688,103.304,121.127
2,130.222,104.367,121.914
3,129.645,100.966,116.182
4,130.376,98.785,113.933
5,128.691,109.153,123.808
6,128.686,153.098,120.201
7,126.273,130.664,116.569
8,29.869,118.474,131.338
9,41.068,121.503,133.552
10,121.584,98.936,112.74
11,131.181,113.626,127.624
12,127.406,119.93,133.68
13,109.923,103.891,120.268
14,35.265,119.715,134.067
15,99.241,117.735,129.909
16,124.458,106.933,110.688
17,125.999,111.106,108.592
18,128.535,99.576,97.449
19,120.419,104.474,105.595
20,124.581,104.965,114.58
21,122.147,106.385,117.828
22,128.171,115.603,132.958
23,116.695,111.533,125.044
24,114.979,105.064,118.743
25,120.515,125.314,116.413
26,154.375,158.814,105.515
27,149.54,157.238,102.043
28,150.742,165.095,109.516
29,154.188,150.371,114.279
30,123.129,125.921,122.648
31,58.808,108.167,118.058
32,67.793,124.101,134.594
33,67.793,124.101,134.594
34,67.793,124.101,134.594
35,67.793,124.101,134.594
36,67.793,124.101,134.594
37,67.793,124.101,134.594
38,67.793,124.101,134.594
39,67.793,124.101,134.594
40,67.793,124.101,134.594
41,67.793,124.101,134.594
42,67.793,124.101,134.594
43,67.793,124.101,134.594
44,67.793,124.101,134.594
45,67.793,124.101,134.594
46,67.793,124.101,134.594
47,67.793,124.101,134.594
48,67.793,124.101,134.594
49,67.793,124.101,134.594
50,67.793,124.101,134.594
51,67.793,124.101,134.594
52,67.793,124.101,134.594
53,67.793,124.101,134.594
54,67.793,124.101,134.594
55,67.793,124.101,134.594
56,67.793,124.101,134.594
57,67.793,124.101,134.594
58,67.793,124.101,134.594
59,67.793,124.101,134.594
60,67.793,124.101,134.594
61,67.793,124.101,134.594
62,67.793,124.101,134.594
63,67.793,124.101,134.594
