Time,Elbow,Knee,Spine
1,132.309,98.969,117.383
2,130.222,104.367,121.914
3,128.548,101.372,117.775
4,128.43,101.096,117.423
5,130.843,101.564,117.766
6,129.801,120.256,117.884
7,127.343,163.596,122.559
8,125.39,117.563,114.862
9,29.869,118.474,131.338
10,33.948,116.886,129.793
11,116.298,99.79,115.078
12,130.919,113.74,128.187
13,127.406,119.93,133.68
14,109.747,104.053,120.837
15,46.023,121.986,134.081
16,112.2,126.886,139.127
17,126.684,110.835,115.78
18,128.139,101.466,99.306
19,126.253,106.626,105.63
20,122.448,105.172,115.736
21,121.275,106.878,117.229
22,124.031,106.675,124.649
23,124.093,105.742,122.208
24,114.55,109.632,122.035
25,115.709,105.94,120.052
26,120.04,120.866,115.692
27,143.761,150.934,111.073
28,149.751,154.936,102.291
29,150.295,166.28,108.748
30,155.595,146.996,115.067
31,127.142,129.601,125.138
32,71.313,116.306,117.575
33,67.793,124.101,134.594
34,67.793,124.101,134.594
35,67.793,124.101,134.594
36,67.793,124.101,134.594
37,67.793,124.101,134.594
38,67.793,124.101,134.594
39,67.793,124.101,134.594
40,67.793,124.101,134.594
41,67.793,124.101,134.594
42,67.793,124.101,134.594
43,67.793,124.101,134.594
44,67.793,124.101,134.594
45,67.793,124.101,134.594
46,67.793,124.101,134.594
47,67.793,124.101,134.594
48,67.793,124.101,134.594
49,67.793,124.101,134.594
50,67.793,124.101,134.594
51,67.793,124.101,134.594
52,67.793,124.101,134.594
53,67.793,124.101,134.594
54,67.793,124.101,134.594
55,67.793,124.101,134.594
56,67.793,124.101,134.594
57,67.793,124.101,134.594
58,67.793,124.101,134.594
59,67.793,124.101,134.594
60,67.793,124.101,134.594
61,67.793,124.101,134.594
62,67.793,124.101,134.594
63,67.793,124.101,134.594
64,67.793,124.101,134.594
65,67.793,124.101,134.594
66,67.793,124.101,134.594
67,67.793,124.101,134.594
68,67.793,124.101,134.594
69,67.793,124.101,134.594
70,67.793,124.101,134.594
