Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,22.662499999999994,0,0
22,4.5475000000000065,0,0
23,44.68,0,0
24,63.37250000000002,0,0
25,86.99750000000002,0,0
26,0,0,0
27,0,0,0
28,25.837499999999984,0,0
29,68.19250000000001,0,0
30,86.085,0,0
31,88.32249999999998,0,0
32,84.11249999999998,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,48.07500000000001,64.435,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,3.3974999999999866,0,0
67,41.675000000000004,0,0
68,53.69250000000001,0,0
69,71.26750000000001,0,0
70,88.655,0,0
71,89.89249999999998,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
