Time,Elbow,Knee,Spine
1,173.621,178.327,173.47
2,174.618,178.479,174.31
3,170.69,178.389,174.291
4,170.812,178.309,175.149
5,176.809,177.891,175.283
6,179.967,178.244,172.132
7,170.078,175.682,179.81
8,178.148,177.117,175.285
9,177.33,177.206,174.103
10,175.172,177.159,173.561
11,173.942,177.602,173.404
12,173.865,178.096,172.849
13,173.545,177.883,172.027
14,174.827,177.965,172.817
15,168.507,176.528,176.966
16,169.41,175.854,177.271
17,178.886,174.337,167.939
18,177.223,178.003,167.96
19,178.865,176.916,167.051
20,175.354,178.868,167.671
21,88.162,179.103,168.886
22,81.819,179.603,168.582
23,98.177,178.738,168.19
24,106.219,178.018,167.648
25,114.985,178.839,166.276
26,158.126,179.924,169.842
27,119.271,178.403,167.009
28,90.335,178.902,167.656
29,110.324,179.772,167.034
30,114.699,179.665,166.856
31,114.961,179.635,166.305
32,113.645,179.411,165.757
33,5.345,178.96,168.989
34,8.437,178.488,167.379
35,6.853,178.44,168.594
36,8.564,178.443,168.883
37,5.413,178.122,168.12
38,3.849,178.236,167.939
39,21.775,179.541,170.936
40,12.991,179.984,169.534
41,15.647,175.479,168.45
42,6.519,179.19,168.284
43,179.15,179.896,173.093
44,176.602,179.961,169.121
45,178.468,178.111,173.725
46,172.879,178.956,173.627
47,174.107,139.689,136.921
48,178.794,179.88,166.653
49,176.457,52.819,157.451
50,177.352,178.107,166.891
51,177.554,176.484,167.17
52,179.14,173.286,165.845
53,172.802,177.516,168.489
54,173.904,179.621,169.099
55,172.737,161.906,166.405
56,99.23,105.774,9.337
57,46.069,122.228,7.846
58,178.664,178.986,173.56
59,177.146,176.8,176.202
60,179.645,176.357,175.086
61,178.451,177.659,175.125
62,150.024,178.768,172.218
63,140.392,179.493,176.87
64,71.691,178.374,172.853
65,68.652,179.712,175.654
66,83.183,176.536,175.549
67,96.67,173.046,176.887
68,101.61,176.559,174.859
69,109.054,178.154,173.108
70,115.462,178.394,172.799
71,116.152,178.629,172.895
72,170.851,179.146,171.947
73,174.434,178.477,175.944
74,176.013,178.525,176.209
75,176.013,178.525,176.209
76,176.013,178.525,176.209
77,176.013,178.525,176.209
78,176.013,178.525,176.209
79,176.013,178.525,176.209
80,176.013,178.525,176.209
81,176.013,178.525,176.209
