Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,0,0
4,111.484,92.915,69.395
5,124.416,75.72,74.42
6,165.379,178.53,173.315
7,172.139,178.18,173.748
8,173.672,178.428,173.115
9,170.283,177.674,175.72
10,168.349,177.893,173.989
11,169.364,178.338,174.028
12,71.832,2.678,3.653
13,30.64,178.337,176.091
14,166.932,114.996,153.011
15,128.087,111.54,128.924
16,121.742,100.417,101.77
17,119.237,108.385,104.873
18,110.783,110.19,93.496
19,59.214,131.803,98.733
20,58.386,111.248,106.313
21,62.731,107.059,100.044
22,108.959,96.31,88.841
23,119.33,111.615,98.701
24,120.373,95.494,115.497
25,120.676,97.327,114.737
26,114.873,88.852,109.393
27,115.431,82.349,107.546
28,113.922,89.443,110.597
29,83.056,165.534,173.717
30,104.375,92.935,100.258
31,120.603,138.854,145.924
32,123.518,104.903,116.56
33,121.011,103.113,118.118
34,57.102,122.724,124.706
35,48.704,130.689,126.501
36,72.462,131.541,119.464
37,47.061,107.442,115.557
38,89.538,155.957,170.661
39,152.363,175.935,178.948
40,152.801,168.456,178.112
41,152.801,168.456,178.112
42,152.801,168.456,178.112
43,152.801,168.456,178.112
44,152.801,168.456,178.112
