Time,Elbow,Knee,Spine
1,0,0,0
2,175.183,178.043,170.445
3,175.783,179.952,173.057
4,175.987,179.729,173.868
5,174.044,178.775,172.923
6,58.661,177.342,178.569
7,144.743,178.344,174.792
8,32.575,179.115,179.876
9,54.324,179.499,178.502
10,52.233,179.908,178.327
11,38.908,179.758,174.942
12,63.608,179.566,177.16
13,44.668,179.887,175.942
14,44.649,179.816,176.293
15,73.644,178.941,177.889
16,111.162,179.585,176.853
17,92.223,178.855,174.574
18,73.513,178.744,176.174
19,72.048,179.307,176.113
20,68.792,178.126,173.125
21,68.303,179.6,177.377
22,44.793,179.861,177.205
23,63.338,179.388,177.107
24,162.139,179.992,177.747
25,69.924,179.84,178.049
26,74.995,179.733,177.512
27,77.698,179.591,176.477
28,78.726,179.595,176.48
29,95.733,179.58,176.853
30,93.344,179.562,177.719
31,98.449,179.686,175.92
32,87.813,179.44,177.677
33,98.193,179.048,177.137
34,178.263,179.03,175.65
35,170.069,175.813,169.738
36,170.37,179.871,174.646
37,176.111,179.56,174.592
38,176.416,179.886,173.312
39,103.841,30.943,25.947
40,175.212,179.563,173.497
41,176.481,179.166,173.959
42,178.788,179.935,174.351
43,174.421,179.75,174.55
44,143.859,174.549,175.405
45,106.732,157.853,161.437
46,176.464,173.503,171.426
47,103.727,173.902,167.966
48,126.84,176.753,174.188
49,174.921,179.596,173.865
50,174.055,179.895,173.315
51,174.594,178.858,174.529
52,174.594,178.858,174.529
53,174.594,178.858,174.529
54,174.594,178.858,174.529
55,174.594,178.858,174.529
56,174.594,178.858,174.529
57,174.594,178.858,174.529
