Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,79.68499999999999,0,0
7,0,81.27749999999999,0
8,0,0,0
9,0,36.875,75.01249999999999
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,95.99,0
16,0,12.4925,85.20250000000001
17,93.50750000000002,10.092500000000015,59.217499999999994
18,90.14250000000001,65.88750000000002,0
19,0,0,0
20,0,0,0
21,0,0,0
22,84.8,0,0
23,59.17249999999999,0,0
24,79.37000000000002,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,53.58250000000002,0,54.49000000000002
35,0,70.10249999999999,56.49750000000002
36,84.61999999999999,50.77000000000002,59.925
37,94.00749999999998,0,40.417500000000004
38,96.97749999999999,0,53.82249999999999
39,99.1575,0,62.975
40,0,0,48.389999999999986
41,0,0,48.75
42,89.52750000000002,59.9775,90.87250000000002
43,83.845,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,51.80250000000001
57,0,29.132500000000014,0
58,0,0,4.695
59,0,0,4.695
60,0,0,4.695
61,0,0,4.695
62,0,0,4.695
63,0,0,4.695
64,0,0,4.695
65,0,0,4.695
66,0,0,4.695
67,0,0,4.695
68,0,0,4.695
69,0,0,4.695
70,0,0,4.695
71,0,0,4.695
72,0,0,4.695
73,0,0,4.695
74,0,0,4.695
75,0,0,4.695
76,0,0,4.695
77,0,0,4.695
78,0,0,4.695
79,0,0,4.695
80,0,0,4.695
