Time,Elbow,Knee,Spine
1,116.681,105.19,105.589
2,124.999,105.379,105.938
3,121.947,105.221,105.52
4,119.452,104.38,106.806
5,114.606,106.33,108.233
6,115.001,106.875,105.765
7,97.883,104.797,105.708
8,110.823,104.158,106.085
9,130.173,117.037,114.754
10,138.807,119.231,116.373
11,107.98,113.542,106.211
12,115.467,113.832,114.52
13,115.889,111.701,111.798
14,112.369,108.757,110.007
15,105.987,109.405,108.849
16,128.219,111.255,110.348
17,128.36,116.879,115.854
18,121.412,114.429,113.489
19,126.835,115.497,114.617
20,128.061,114.917,115.575
21,128.933,114.869,114.29
22,123.277,115.633,115.656
23,127.884,116.072,114.571
24,125.682,115.029,115.529
25,123.497,116.128,114.722
26,123.497,116.128,114.722
27,123.497,116.128,114.722
28,123.497,116.128,114.722
29,123.497,116.128,114.722
30,123.497,116.128,114.722
31,123.497,116.128,114.722
32,123.497,116.128,114.722
33,123.497,116.128,114.722
34,123.497,116.128,114.722
35,123.497,116.128,114.722
36,123.497,116.128,114.722
37,123.497,116.128,114.722
38,123.497,116.128,114.722
39,123.497,116.128,114.722
