Time,Elbow,Knee,Spine
1,0,0,0
2,106.225,92.959,109.65
3,95.45,89.902,104.53
4,79.091,114.122,129.006
5,105.771,110.748,126.492
6,162.249,102.916,136.121
7,179.857,179.542,175.368
8,163.208,174.101,178.645
9,165.906,169.746,167.919
10,161.038,173.91,170.0
11,153.601,170.214,176.336
12,175.363,173.581,168.919
13,172.185,163.72,166.663
14,103.196,119.026,101.209
15,123.623,161.297,152.52
16,108.987,157.269,145.097
17,130.297,172.082,159.676
18,100.16,90.988,103.975
19,99.388,87.402,103.083
20,99.464,88.228,104.987
21,154.024,91.114,110.654
22,35.309,98.213,119.037
23,95.715,88.028,113.98
24,90.699,88.351,110.966
25,105.828,90.89,109.354
26,109.59,95.826,106.752
27,100.521,117.776,107.899
28,101.344,92.964,101.5
29,100.1,98.828,99.161
30,110.958,97.234,106.21
31,107.311,97.608,110.788
32,102.827,103.437,106.335
33,106.238,101.43,104.947
34,103.911,112.909,109.57
35,51.34,110.645,109.307
36,97.5,109.492,104.895
37,62.444,113.781,109.4
38,113.633,115.337,111.31
39,54.312,110.892,108.171
40,67.902,111.949,108.682
41,102.339,111.186,106.744
42,101.895,113.105,108.079
43,101.75,111.685,107.074
44,68.33,135.358,133.315
45,9.547,126.985,131.101
46,9.547,126.985,131.101
47,9.547,126.985,131.101
48,9.547,126.985,131.101
49,9.547,126.985,131.101
50,9.547,126.985,131.101
51,9.547,126.985,131.101
52,9.547,126.985,131.101
53,9.547,126.985,131.101
54,9.547,126.985,131.101
55,9.547,126.985,131.101
