Time,Elbow,Knee,Spine
1,0,0,0
2,0,0,0
3,177.483,51.079,135.36
4,167.378,166.81,165.278
5,170.013,179.664,169.655
6,176.513,12.484,176.076
7,175.735,11.766,173.457
8,178.033,135.044,175.658
9,179.803,109.478,176.031
10,179.906,91.482,177.019
11,178.25,100.579,171.297
12,167.26,178.0,178.236
13,170.383,178.018,179.544
14,165.171,172.948,179.237
15,165.662,178.244,178.268
16,179.314,6.739,179.581
17,178.602,176.046,178.867
18,179.225,159.813,170.845
19,179.086,63.288,173.643
20,179.086,63.288,173.643
21,179.086,63.288,173.643
22,179.086,63.288,173.643
