Time,Elbow,Knee,Spine
1,173.909,179.542,175.837
2,167.257,177.361,172.476
3,172.801,178.495,172.334
4,179.085,178.695,172.437
5,155.336,179.682,173.006
6,174.22,178.947,173.021
7,36.889,177.772,174.561
8,173.831,179.981,174.189
9,175.363,179.045,173.278
10,125.237,173.988,175.522
11,65.105,175.024,174.257
12,84.397,178.367,169.423
13,87.774,171.953,160.533
14,168.822,154.203,153.334
15,176.238,168.797,176.485
16,152.544,171.871,168.736
17,156.479,123.869,124.554
18,131.56,113.683,117.608
19,134.521,118.68,126.882
20,145.121,31.762,50.077
21,169.684,174.885,169.927
22,159.195,167.04,166.627
23,144.609,175.019,176.745
24,146.198,160.634,170.502
25,166.071,172.155,174.696
26,165.345,146.448,159.374
27,154.793,178.993,179.417
28,168.127,172.134,174.741
29,169.824,176.531,171.967
30,171.112,176.041,174.523
31,168.241,170.388,170.063
32,140.731,72.13,88.737
33,173.541,149.648,157.304
34,170.978,165.613,168.944
35,161.154,168.332,168.097
36,176.431,172.388,176.026
37,168.961,132.154,140.563
38,91.569,74.628,88.011
39,176.479,143.52,148.531
40,172.464,179.853,171.428
41,172.692,178.206,172.487
42,152.885,174.914,168.241
43,129.722,146.536,164.151
44,135.174,156.494,163.144
45,144.787,154.574,158.819
46,145.661,89.718,106.972
47,73.436,154.694,159.249
48,66.999,165.701,174.247
49,131.248,138.068,146.163
50,144.077,14.953,116.865
51,129.03,92.98,95.523
52,136.051,65.827,49.884
53,78.066,59.951,118.555
54,113.853,86.163,112.252
55,127.092,92.366,114.066
56,121.119,92.706,119.731
57,156.557,86.383,115.951
58,166.533,95.841,117.449
59,168.812,77.121,114.185
60,167.527,79.962,113.931
61,166.264,82.945,115.633
62,106.649,97.16,117.035
63,121.385,94.101,118.163
64,123.858,91.656,119.381
65,122.347,86.625,118.736
66,122.007,84.731,119.64
67,132.884,84.099,118.529
68,76.335,82.142,119.889
69,121.386,3.72,116.538
70,110.761,16.301,118.6
71,28.368,45.028,21.841
72,164.093,119.233,107.338
73,124.175,170.617,144.416
74,130.12,71.065,81.663
75,117.315,97.698,109.138
76,117.598,94.881,111.429
77,118.01,97.237,112.466
78,117.91,96.816,112.831
79,115.485,88.456,111.489
80,115.572,85.245,112.318
81,118.562,91.091,114.138
82,120.07,94.89,115.248
83,119.62,95.366,114.992
84,149.388,130.733,129.531
85,120.645,101.746,115.234
86,117.858,85.324,108.259
87,155.159,149.041,154.853
88,176.07,179.228,173.086
89,18.412,178.308,174.817
90,128.417,154.997,161.4
91,168.84,39.161,36.404
92,175.094,176.502,171.506
93,179.783,176.823,169.205
94,179.49,176.989,169.503
95,174.01,178.309,170.207
96,170.719,179.121,171.834
97,165.854,178.251,171.236
98,177.075,176.247,168.537
99,153.719,177.578,172.946
100,178.259,175.413,167.814
101,175.125,162.341,179.383
102,175.901,166.154,179.026
103,175.901,166.154,179.026
104,175.901,166.154,179.026
105,175.901,166.154,179.026
106,175.901,166.154,179.026
107,175.901,166.154,179.026
108,175.901,166.154,179.026
109,175.901,166.154,179.026
110,175.901,166.154,179.026
111,175.901,166.154,179.026
112,175.901,166.154,179.026
