Time,Elbow,Knee,Spine
1,131.944,101.723,120.108
2,129.52,103.754,120.717
3,129.246,101.585,116.96
4,129.738,101.878,116.692
5,129.738,101.878,116.692
6,129.251,108.338,122.777
7,129.397,141.201,123.457
8,125.973,155.965,119.726
9,56.41,106.036,119.332
10,24.416,119.097,133.514
11,102.567,105.47,121.033
12,128.711,110.431,124.085
13,132.178,122.691,137.057
14,114.434,105.886,122.514
15,72.627,116.623,129.437
16,87.614,106.794,121.836
17,126.684,110.835,115.78
18,127.812,101.794,98.243
19,124.306,106.707,105.517
20,124.581,104.965,114.58
21,121.879,107.944,117.842
22,127.819,112.844,130.832
23,116.695,111.533,125.044
24,113.637,103.735,117.882
25,120.136,120.836,115.324
26,154.279,156.111,105.649
27,150.328,157.446,101.975
28,149.39,151.564,108.824
29,127.142,129.601,125.138
30,60.205,109.809,116.517
31,67.793,124.101,134.594
32,67.793,124.101,134.594
33,67.793,124.101,134.594
34,67.793,124.101,134.594
35,67.793,124.101,134.594
36,67.793,124.101,134.594
